192.168.1.100 - - [14/Mar/2024:10:15:23 -0400] "GET /index.html HTTP/1.1" 200 2326 "-" "Mozilla/5.0 (Windows NT
10.0; Win64; x64)"
192.168.1.101 - - [14/Mar/2024:10:15:24 -0400] "POST /login HTTP/1.1" 401 0 "http://example.com/login" "Mozilla/5.0
(Windows NT 10.0; Win64; x64)"
192.168.1.102 - - [14/Mar/2024:10:15:25 -0400] "GET /admin HTTP/1.1" 403 0 "-" "Mozilla/5.0 (X11; Linux x86_64)"
192.168.1.120 - - [14/Mar/2024:11:00:01 -0400] "GET /login HTTP/1.1" 200 1024 "-" "Mozilla/5.0 (Windows NT 10.0;
Win64; x64)"
192.168.1.120 - - [14/Mar/2024:11:00:08 -0400] "POST /login HTTP/1.1" 401 0 "http://example.com/login" "Mozilla/5.0
(Windows NT 10.0; Win64; x64)"
192.168.1.120 - - [14/Mar/2024:11:00:15 -0400] "POST /login HTTP/1.1" 401 0 "http://example.com/login" "Mozilla/5.0
(Windows NT 10.0; Win64; x64)"
203.0.113.77 - - [14/Mar/2024:11:01:02 -0400] "POST /login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.77 - - [14/Mar/2024:11:01:03 -0400] "POST /login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.77 - - [14/Mar/2024:11:01:04 -0400] "POST /login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.77 - - [14/Mar/2024:11:01:05 -0400] "POST /login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.77 - - [14/Mar/2024:11:01:06 -0400] "POST /login HTTP/1.1" 401 0 "-" "curl/7.68.0"
198.51.100.42 - - [14/Mar/2024:11:02:10 -0400] "GET /admin HTTP/1.1" 403 0 "-" "-"
198.51.100.42 - - [14/Mar/2024:11:02:12 -0400] "GET /phpmyadmin HTTP/1.1" 404 209 "-" "-"
198.51.100.88 - - [14/Mar/2024:11:03:01 -0400] "GET / HTTP/1.1" 200 2326 "-" "sqlmap/1.6.12#stable"
198.51.100.88 - - [14/Mar/2024:11:03:03 -0400] "GET /login HTTP/1.1" 200 1024 "-" "sqlmap/1.6.12#stable"
198.51.100.88 - - [14/Mar/2024:11:03:05 -0400] "POST /login HTTP/1.1" 401 0 "-" "sqlmap/1.6.12#stable"
203.0.113.77 - - [14/Mar/2024:11:04:01 -0400] "POST /login HTTP/1.1" 200 512 "-" "curl/7.68.0"
192.168.1.101 - - [14/Mar/2024:10:15:36 -0400] "POST /login HTTP/1.1" 200 512 "http://example.com/login"
"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.106 - - [14/Mar/2024:10:15:40 -0400] "GET /admin HTTP/1.1" 302 0 "-" "Mozilla/5.0 (X11; Linux x86_64)"
192.168.1.103 - - [14/Mar/2024:10:15:42 -0400] "GET /api/data HTTP/1.1" 500 87 "-" "curl/7.81.0"
